Entity,Code,Year,Patent applications granted - Field: Banking and finance,Patent applications granted - Field: Industry and manufacturing,Patent applications granted - Field: Energy management,Patent applications granted - Field: Physical sciences and engineering,Patent applications granted - Field: Security,Patent applications granted - Field: Life sciences,Patent applications granted - Field: Transportation,Patent applications granted - Field: Business,Patent applications granted - Field: Telecommunications,Patent applications granted - Field: Personal devices and computing
China,CHN,2019,321,1190,1011,583,515,1460,1637,2015,2243,10874
China,CHN,2020,581,1700,1580,845,1053,1917,2649,3171,3346,18316
Colombia,COL,2015,0,1,0,1,0,0,0,0,0,0
Colombia,COL,2019,0,0,0,0,0,1,0,0,0,0
Croatia,HRV,2015,0,0,0,0,0,1,0,0,0,0
Croatia,HRV,2018,0,0,0,0,0,0,0,0,1,0
Croatia,HRV,2019,0,0,0,0,0,0,0,0,0,1
Czechia,CZE,2013,0,0,0,0,0,0,0,0,0,0
Czechia,CZE,2017,0,0,0,0,0,0,0,0,0,0
Czechia,CZE,2018,0,0,0,0,0,0,1,0,0,1
Czechia,CZE,2019,0,0,0,0,0,0,0,0,1,0
Czechia,CZE,2020,0,0,0,0,0,0,0,0,0,1
Denmark,DNK,2013,0,0,1,1,0,4,0,0,0,1
Denmark,DNK,2014,0,3,1,0,0,6,2,0,2,1
Denmark,DNK,2015,2,2,2,0,0,9,3,2,5,7
Denmark,DNK,2016,0,2,1,1,1,3,3,1,3,2
Denmark,DNK,2017,2,0,0,0,1,9,1,0,5,7
Denmark,DNK,2018,1,1,1,1,2,7,7,1,8,7
Denmark,DNK,2019,0,0,0,2,1,5,4,0,6,8
Denmark,DNK,2020,0,1,0,0,2,1,1,2,9,4
Finland,FIN,2013,1,0,0,0,0,1,0,0,0,2
Finland,FIN,2014,0,0,1,0,0,0,0,0,0,0
Finland,FIN,2015,0,2,0,0,0,2,0,1,0,2
Finland,FIN,2016,0,1,0,1,0,3,0,0,1,3
Finland,FIN,2017,0,1,0,0,1,4,0,0,2,5
Finland,FIN,2018,0,0,2,2,1,4,0,0,10,5
Finland,FIN,2019,0,3,0,2,1,5,0,1,5,5
Finland,FIN,2020,0,0,0,0,2,0,0,3,15,9
France,FRA,2013,0,3,4,2,0,3,7,3,0,5
France,FRA,2014,1,1,4,2,0,5,7,2,4,12
France,FRA,2015,1,1,3,3,2,7,6,1,2,10
France,FRA,2016,3,2,3,3,6,11,13,1,12,22
France,FRA,2017,3,0,5,4,4,18,12,6,14,36
France,FRA,2018,11,7,5,8,10,22,30,11,17,66
France,FRA,2019,11,7,5,2,17,17,29,8,40,69
France,FRA,2020,4,9,14,9,11,16,29,6,21,42
Germany,DEU,2013,2,4,2,8,3,4,18,6,3,16
Germany,DEU,2014,0,5,5,4,0,6,29,3,3,6
Germany,DEU,2015,2,10,4,1,1,16,51,8,17,18
Germany,DEU,2016,12,12,12,7,10,31,91,15,25,57
Germany,DEU,2017,11,34,13,13,13,28,132,17,53,95
Germany,DEU,2018,16,42,12,12,21,33,143,27,68,139
Germany,DEU,2019,7,27,16,11,9,55,101,9,48,114
Germany,DEU,2020,6,37,12,8,14,28,47,9,41,100
Greece,GRC,2014,0,0,0,0,0,1,0,0,0,1
Greece,GRC,2015,0,1,1,0,0,0,0,0,0,1
Greece,GRC,2016,0,0,0,0,0,0,0,1,0,2
Greece,GRC,2017,0,1,0,0,0,0,0,1,0,5
Greece,GRC,2018,0,1,0,0,0,1,0,0,0,4
Greece,GRC,2019,0,0,1,1,0,0,0,0,0,1
Greece,GRC,2020,0,0,1,0,0,0,0,0,0,1
Hong Kong,HKG,2016,0,0,0,1,0,0,2,0,3,2
Hong Kong,HKG,2017,0,0,0,0,0,1,0,0,0,0
Hong Kong,HKG,2018,1,0,1,0,1,1,0,2,0,2
Hungary,HUN,2013,0,0,0,0,0,2,0,0,0,1
Hungary,HUN,2014,0,0,0,0,1,0,0,0,1,0
Hungary,HUN,2015,0,0,0,0,0,6,2,0,0,3
Hungary,HUN,2016,1,2,0,1,0,0,2,1,2,1
Hungary,HUN,2017,0,0,0,1,0,1,0,1,3,2
Hungary,HUN,2018,0,0,0,0,0,1,0,0,1,1
Hungary,HUN,2019,0,0,0,0,0,1,0,0,0,1
Hungary,HUN,2020,0,0,0,0,1,0,0,0,1,1
India,IND,2013,1,2,3,3,3,8,1,5,2,21
India,IND,2014,0,0,0,0,4,4,1,8,7,16
India,IND,2015,3,2,2,0,2,14,2,15,11,42
India,IND,2016,1,2,2,1,5,19,4,24,24,70
India,IND,2017,10,8,1,1,8,28,11,30,38,134
India,IND,2018,4,8,1,6,14,18,11,28,27,125
India,IND,2019,0,0,0,0,2,0,0,0,1,6
India,IND,2020,0,0,0,0,0,0,0,0,0,2
Indonesia,IDN,2016,1,0,0,0,0,1,0,1,1,1
Iran,IRN,2018,0,0,0,0,1,0,0,0,1,1
Ireland,IRL,2016,0,0,0,0,0,1,0,0,0,1
Ireland,IRL,2018,0,0,0,0,0,0,0,0,0,0
Israel,ISR,2013,0,0,0,0,0,0,0,0,4,2
Israel,ISR,2014,0,0,0,0,0,0,0,1,1,2
Israel,ISR,2015,0,0,0,0,2,2,1,2,4,7
Israel,ISR,2016,0,0,0,0,1,0,1,0,3,2
Israel,ISR,2017,1,3,0,0,3,1,5,3,5,9
Israel,ISR,2018,0,1,0,0,0,0,0,1,3,5
Israel,ISR,2019,0,0,0,0,3,0,2,1,3,4
Israel,ISR,2020,0,1,0,0,7,2,0,0,6,7
Italy,ITA,2013,0,1,2,0,0,1,1,0,0,0
Italy,ITA,2014,0,1,1,0,0,0,1,0,1,0
Italy,ITA,2015,0,0,0,0,0,1,1,0,1,2
Italy,ITA,2016,1,2,0,1,1,5,2,1,1,1
Italy,ITA,2017,0,1,1,0,0,8,6,2,4,5
Italy,ITA,2018,1,3,1,1,0,2,2,2,4,6
Italy,ITA,2019,3,3,4,2,2,5,3,1,7,9
Italy,ITA,2020,0,0,0,0,0,1,0,0,3,3
Japan,JPN,2013,4,18,12,8,11,76,29,29,46,92
Japan,JPN,2014,10,20,47,12,17,89,84,38,44,165
Japan,JPN,2015,17,46,50,25,17,118,136,56,70,223
Japan,JPN,2016,32,98,40,33,57,199,251,97,141,451
Japan,JPN,2017,60,186,72,46,70,324,358,175,282,793
Japan,JPN,2018,73,242,103,110,87,430,382,214,386,1139
Japan,JPN,2019,71,267,93,118,82,446,278,250,375,1011
Japan,JPN,2020,46,135,67,85,67,202,177,99,233,602
Kenya,KEN,2016,0,0,0,0,0,0,1,0,0,0
Latvia,LVA,2020,0,0,0,0,0,0,0,0,1,0
Lithuania,LTU,2014,0,1,0,0,0,0,0,0,0,1
Lithuania,LTU,2015,1,1,0,0,0,3,0,1,0,2
Lithuania,LTU,2016,0,1,0,0,1,0,0,0,2,1
Lithuania,LTU,2017,1,1,0,0,0,0,0,1,0,1
Lithuania,LTU,2018,0,0,1,1,0,3,0,0,1,3
Lithuania,LTU,2019,0,0,0,0,0,1,1,0,1,0
Lithuania,LTU,2020,0,0,1,1,1,1,0,0,1,1
Luxembourg,LUX,2016,0,0,0,0,0,0,0,0,0,1
Luxembourg,LUX,2017,0,0,0,0,0,0,0,0,0,1
Luxembourg,LUX,2018,0,0,0,1,0,3,1,0,1,4
Luxembourg,LUX,2019,0,0,0,0,2,0,1,1,4,5
Luxembourg,LUX,2020,0,3,0,2,1,0,1,2,1,7
Malaysia,MYS,2013,1,1,0,0,0,1,0,1,0,1
Malaysia,MYS,2014,0,0,1,0,1,2,0,0,1,4
Malaysia,MYS,2015,2,1,0,0,0,2,6,1,1,1
Malaysia,MYS,2016,0,0,0,0,2,1,2,1,4,4
Malaysia,MYS,2017,1,0,0,2,0,2,1,3,1,4
Malaysia,MYS,2018,1,0,0,0,1,1,1,1,0,3
Malaysia,MYS,2019,0,0,0,0,0,0,0,1,0,1
Malaysia,MYS,2020,1,0,0,0,0,0,0,1,0,0
Mexico,MEX,2013,1,0,1,5,0,12,1,2,5,9
Mexico,MEX,2014,0,0,1,4,0,5,3,2,1,8
Mexico,MEX,2015,1,3,0,3,0,8,15,5,7,10
Mexico,MEX,2016,2,6,2,1,6,10,23,12,10,20
Mexico,MEX,2017,2,9,2,5,3,15,18,8,10,20
Mexico,MEX,2018,2,9,2,7,3,16,8,8,9,28
Mexico,MEX,2019,4,7,2,8,2,12,5,14,15,22
Mexico,MEX,2020,1,5,1,0,1,6,4,5,9,17
Morocco,MAR,2013,0,0,0,0,0,1,0,0,0,0
Morocco,MAR,2014,0,0,0,0,1,1,0,0,0,2
Morocco,MAR,2015,1,0,0,0,0,1,0,1,1,1
Morocco,MAR,2016,0,0,0,0,1,0,0,0,0,1
Morocco,MAR,2017,0,0,0,0,0,0,1,1,0,1
Morocco,MAR,2018,0,1,0,1,0,1,0,0,2,1
Morocco,MAR,2019,1,0,0,0,1,1,0,2,2,2
Morocco,MAR,2020,0,0,0,0,0,0,0,0,0,0
Netherlands,NLD,2013,0,0,0,0,0,0,1,0,0,1
Netherlands,NLD,2014,0,0,0,0,0,1,0,0,0,1
Netherlands,NLD,2015,0,0,0,0,1,2,0,0,1,3
Netherlands,NLD,2016,0,0,0,0,0,0,1,0,2,2
Netherlands,NLD,2017,0,0,0,0,0,3,1,0,0,1
Netherlands,NLD,2018,0,0,0,0,1,3,0,0,1,4
Netherlands,NLD,2019,0,1,0,0,1,8,1,2,3,8
Netherlands,NLD,2020,1,2,0,0,1,4,1,2,1,7
New Zealand,NZL,2013,0,0,0,0,0,3,0,0,0,1
New Zealand,NZL,2014,0,1,0,0,0,2,0,0,0,0
New Zealand,NZL,2015,3,1,1,1,2,3,1,1,2,5
New Zealand,NZL,2016,0,0,0,0,0,2,0,0,0,0
New Zealand,NZL,2017,0,1,1,0,1,6,0,1,1,4
New Zealand,NZL,2018,0,0,0,0,1,8,0,1,1,6
New Zealand,NZL,2019,0,1,0,1,0,2,0,0,2,2
Norway,NOR,2013,0,0,0,0,0,0,0,0,0,0
Norway,NOR,2016,0,0,0,0,0,0,0,0,0,1
Norway,NOR,2017,1,0,0,0,0,0,2,0,0,0
Norway,NOR,2018,1,0,0,0,0,0,1,0,3,1
Norway,NOR,2019,1,2,1,0,0,1,1,2,1,3
Norway,NOR,2020,0,1,0,1,2,1,1,0,1,2
Peru,PER,2015,0,0,0,1,0,1,0,0,0,0
Peru,PER,2016,0,0,0,1,0,0,0,0,1,0
Peru,PER,2018,0,0,0,0,0,1,0,0,0,1
Peru,PER,2019,0,0,0,0,0,0,0,0,0,0
Peru,PER,2020,0,0,0,0,1,0,0,1,1,2
Philippines,PHL,2015,1,0,0,0,0,0,0,0,0,0
Philippines,PHL,2016,0,0,0,0,0,0,0,0,0,1
Philippines,PHL,2017,0,0,0,0,0,0,0,1,0,1
Philippines,PHL,2018,0,0,0,0,0,0,0,1,0,0
Philippines,PHL,2020,0,0,0,1,0,1,0,0,0,0
Poland,POL,2013,1,0,0,0,0,2,0,0,0,2
Poland,POL,2014,0,1,0,0,0,2,0,0,0,2
Poland,POL,2015,1,3,1,0,0,3,2,1,1,4
Poland,POL,2016,0,0,0,0,0,4,2,0,2,3
Poland,POL,2017,1,1,0,2,0,1,2,0,3,5
Poland,POL,2018,0,1,1,0,1,2,1,1,5,5
Poland,POL,2019,0,2,0,0,1,1,1,1,7,5
Poland,POL,2020,0,0,0,0,1,0,0,0,0,3
Portugal,PRT,2014,0,0,1,0,0,0,0,1,0,1
Portugal,PRT,2015,0,0,0,0,0,4,1,0,2,1
Portugal,PRT,2016,0,1,0,1,1,1,1,0,4,2
Portugal,PRT,2017,0,1,0,0,0,2,1,0,2,2
Portugal,PRT,2018,0,1,1,1,0,1,2,0,1,3
Portugal,PRT,2019,0,0,0,0,0,0,0,0,0,2
Portugal,PRT,2020,0,0,0,0,0,3,0,0,0,2
Romania,ROU,2015,0,0,1,1,0,1,0,0,1,0
Romania,ROU,2016,0,0,0,0,0,1,0,0,0,0
Romania,ROU,2017,0,0,0,0,0,0,0,1,1,0
Romania,ROU,2018,0,0,0,0,0,1,0,0,0,0
Romania,ROU,2019,0,0,0,0,0,0,0,0,1,0
Russia,RUS,2013,0,0,0,4,5,8,2,0,2,8
Russia,RUS,2014,0,1,0,9,3,10,4,4,6,24
Russia,RUS,2015,1,2,2,3,3,14,17,9,13,43
Russia,RUS,2016,2,3,2,4,13,30,15,10,28,62
Russia,RUS,2017,7,5,0,7,16,32,18,19,30,86
Russia,RUS,2018,5,7,1,5,18,20,11,11,30,95
Russia,RUS,2019,6,6,0,8,17,8,16,15,23,78
Russia,RUS,2020,5,7,0,18,17,22,12,10,22,73
Serbia,SRB,2013,0,0,0,0,0,0,0,0,1,1
Serbia,SRB,2014,0,1,0,0,0,0,0,0,0,0
Serbia,SRB,2015,1,1,0,0,0,0,0,1,0,1
Serbia,SRB,2017,0,1,0,0,0,0,1,0,0,0
Serbia,SRB,2018,0,1,0,0,0,0,1,0,1,0
Singapore,SGP,2013,1,0,0,3,0,12,0,2,2,4
Singapore,SGP,2014,2,0,1,1,0,7,0,2,2,12
Singapore,SGP,2015,3,2,1,3,2,10,1,4,5,12
Singapore,SGP,2016,5,2,1,4,7,7,3,12,12,29
Singapore,SGP,2017,8,3,0,4,8,23,7,16,23,36
Singapore,SGP,2018,15,7,3,10,15,32,13,12,32,61
Singapore,SGP,2019,14,3,1,1,7,16,6,12,17,47
Singapore,SGP,2020,3,0,0,0,4,0,3,7,5,14
Slovakia,SVK,2015,0,0,0,0,0,0,0,0,0,0
Slovenia,SVN,2013,0,0,0,0,0,1,0,0,0,0
Slovenia,SVN,2015,1,1,0,0,0,1,0,1,0,2
Slovenia,SVN,2016,0,0,0,0,0,0,0,0,2,0
Slovenia,SVN,2018,0,0,0,0,0,1,0,0,1,1
South Africa,ZAF,2014,1,0,0,0,1,0,0,0,0,0
South Africa,ZAF,2016,0,0,0,0,1,0,0,2,0,1
South Africa,ZAF,2017,1,0,0,1,0,1,0,0,0,2
South Africa,ZAF,2018,0,0,1,0,0,0,0,1,0,1
South Africa,ZAF,2020,0,0,0,0,0,0,0,1,0,1
South Korea,KOR,2013,3,9,28,18,12,43,23,19,31,84
South Korea,KOR,2014,8,19,30,11,12,56,31,24,46,92
South Korea,KOR,2015,8,18,26,8,12,53,76,19,57,112
South Korea,KOR,2016,25,50,56,36,47,130,111,104,157,368
South Korea,KOR,2017,52,126,100,69,109,285,189,199,374,674
South Korea,KOR,2018,87,201,162,138,174,482,239,404,578,1040
South Korea,KOR,2019,153,382,272,198,303,643,409,734,914,1534
South Korea,KOR,2020,176,319,275,278,400,851,322,960,880,1488
Spain,ESP,2013,1,0,1,1,1,10,2,1,3,6
Spain,ESP,2014,1,2,1,2,3,10,2,0,5,9
Spain,ESP,2015,3,5,3,1,0,13,6,1,6,11
Spain,ESP,2016,0,5,3,5,1,15,7,3,9,17
Spain,ESP,2017,2,3,2,5,1,9,6,5,9,17
Spain,ESP,2018,1,3,2,2,2,9,8,0,13,12
Spain,ESP,2019,2,4,1,2,5,8,5,2,13,13
Spain,ESP,2020,0,1,2,2,0,3,1,1,3,8
Sri Lanka,LKA,2016,0,0,0,0,0,1,0,0,0,0
Sweden,SWE,2013,0,0,0,0,0,1,6,0,3,3
Sweden,SWE,2014,0,0,0,0,0,0,0,0,1,0
Sweden,SWE,2015,0,0,0,1,0,0,1,1,1,2
Sweden,SWE,2016,3,1,0,1,0,1,3,2,3,4
Sweden,SWE,2017,1,1,0,2,0,0,5,0,4,2
Sweden,SWE,2018,1,3,1,0,1,3,4,0,3,3
Sweden,SWE,2019,0,2,2,2,1,5,1,0,3,2
Sweden,SWE,2020,0,2,2,0,2,2,1,1,5,4
Switzerland,CHE,2014,0,0,0,1,0,1,1,2,1,0
Switzerland,CHE,2016,2,0,1,1,1,2,1,1,0,1
Switzerland,CHE,2018,0,1,0,0,0,1,0,0,2,1
Switzerland,CHE,2019,0,0,0,0,0,0,0,0,1,0
Switzerland,CHE,2020,0,1,0,1,0,0,0,0,0,1
Taiwan,TWN,2013,1,1,3,2,2,3,0,3,2,7
Taiwan,TWN,2014,0,1,2,0,0,7,0,4,1,6
Taiwan,TWN,2015,0,3,2,2,0,10,0,3,9,12
Taiwan,TWN,2016,1,8,3,2,2,11,5,11,13,30
Taiwan,TWN,2017,3,11,4,2,1,22,2,11,14,63
Taiwan,TWN,2018,6,18,6,5,10,41,14,13,29,106
Taiwan,TWN,2019,3,18,4,9,5,43,7,11,42,108
Taiwan,TWN,2020,6,22,16,3,11,54,5,18,51,130
Turkey,TUR,2013,0,0,0,0,0,1,0,1,1,0
Turkey,TUR,2014,0,0,0,0,0,0,0,0,1,0
Turkey,TUR,2015,0,0,0,0,0,0,1,0,2,2
Turkey,TUR,2016,1,0,0,0,0,0,1,1,0,0
Turkey,TUR,2017,0,1,0,0,0,1,0,0,0,1
Turkey,TUR,2018,1,0,0,0,0,0,0,1,2,3
Turkey,TUR,2019,0,0,0,0,0,0,0,0,1,0
Ukraine,UKR,2013,0,1,0,0,0,1,0,0,0,1
Ukraine,UKR,2014,0,0,0,0,0,0,0,0,0,0
Ukraine,UKR,2015,0,0,0,0,0,1,0,0,0,2
Ukraine,UKR,2016,0,0,0,0,0,0,0,0,0,0
Ukraine,UKR,2017,0,0,0,0,0,0,0,0,0,0
Ukraine,UKR,2018,0,1,0,1,0,0,0,0,0,2
Ukraine,UKR,2019,0,0,0,0,0,0,0,0,0,0
United Kingdom,GBR,2013,0,2,4,9,3,8,5,7,13,26
United Kingdom,GBR,2014,2,3,3,4,1,11,6,4,10,20
United Kingdom,GBR,2015,2,1,4,11,5,8,7,9,18,30
United Kingdom,GBR,2016,7,11,1,6,17,17,17,24,37,76
United Kingdom,GBR,2017,6,11,6,17,17,30,32,16,36,98
United Kingdom,GBR,2018,11,16,8,26,20,44,34,29,51,107
United Kingdom,GBR,2019,8,8,11,32,18,23,27,17,56,124
United Kingdom,GBR,2020,5,7,5,6,8,15,13,6,32,58
United States,USA,2013,43,55,47,54,83,298,110,274,361,822
United States,USA,2014,64,59,65,64,127,325,163,322,509,1049
United States,USA,2015,128,95,68,88,190,488,328,452,727,1594
United States,USA,2016,219,175,95,122,379,693,705,797,1188,2681
United States,USA,2017,386,294,157,199,561,989,1064,1096,2043,4479
United States,USA,2018,479,377,207,257,812,1243,1426,1272,2639,6258
United States,USA,2019,564,353,188,267,869,1138,1189,1349,2773,6655
United States,USA,2020,441,262,133,210,638,714,644,1085,2200,4741
Uruguay,URY,2017,0,1,0,0,0,0,0,0,0,0
Uruguay,URY,2020,0,1,0,0,0,0,0,0,0,0
World,OWID_WRL,2013,67,134,163,159,142,672,240,399,556,1323
World,OWID_WRL,2014,102,169,287,161,203,722,406,495,759,1823
World,OWID_WRL,2015,224,291,321,236,306,1052,835,734,1232,2928
World,OWID_WRL,2016,402,596,504,406,725,1741,1621,1529,2273,6160
World,OWID_WRL,2017,749,1077,770,616,1056,2615,2398,2341,4036,10625
World,OWID_WRL,2018,1032,1635,1176,1025,1643,3627,3263,3446,5754,15945
World,OWID_WRL,2019,1225,2333,1630,1305,1915,4140,3769,4562,6781,21033
World,OWID_WRL,2020,1321,2581,2141,1512,2306,4036,3968,5484,7040,25982
